#{"t_start": 1757786018.2448635, "env_id": null}
r,l,t
-7.5,40,10.191383
-7.5,40,12.789774
-7.0,40,15.178699
-7.5,40,17.676803
-7.5,40,20.141691
-7.5,40,22.454408
-7.0,40,24.851909
-6.5,40,27.165498
-7.5,40,29.320186
-7.5,40,31.675271
-7.5,40,34.080465
-7.5,40,36.482069
-7.5,40,38.755682
-7.0,40,41.272607
-7.5,40,43.733235
-7.5,40,46.004461
-7.5,40,48.358519
-7.5,40,50.816735
-7.0,40,53.154897
-7.5,40,55.593173
-5.5,40,57.985863
-7.0,40,60.357444
-7.5,40,62.726313
-7.5,40,65.046301
-7.5,40,67.313534
-7.5,40,99.699632
-7.0,40,101.941478
-7.5,40,104.241413
-7.5,40,106.551662
-7.0,40,108.929034
-7.5,40,111.284312
-7.0,40,113.701982
-7.5,40,116.063231
-7.5,40,118.31168
-7.0,40,120.69976
-6.5,40,122.927803
-7.5,40,125.204927
-7.0,40,127.376835
-7.5,40,129.766607
-7.0,40,132.082412
-7.5,40,134.497463
-7.5,40,136.913356
-7.5,40,139.42755
-7.5,40,141.821674
-7.5,40,144.172217
-7.5,40,146.462196
-7.5,40,148.692148
-7.5,40,151.090179
-7.0,40,153.405244
-7.0,40,155.803218
-7.0,40,193.120149
-6.5,40,195.367894
-7.5,40,197.664208
-7.5,40,199.977412
-7.5,40,202.184442
-7.0,40,204.513986
-7.5,40,206.766732
-7.5,40,209.116424
-7.0,40,211.427322
-7.5,40,213.81464
-7.5,40,216.103971
-7.5,40,218.565991
-7.5,40,220.855401
-7.5,40,223.177793
-7.5,40,225.46189
-7.5,40,227.770702
-7.5,40,230.141812
-7.5,40,232.573404
-7.5,40,235.026298
-7.0,40,237.30481
-7.0,40,239.606375
-7.5,40,241.945187
-7.5,40,244.254379
-7.5,40,246.669735
-7.0,40,249.034761
-7.5,40,286.610775
-7.5,40,288.937068
-7.5,40,291.359196
-7.0,40,293.753402
-7.5,40,296.183765
-7.5,40,298.476134
-7.5,40,300.675576
-7.0,40,303.014609
-7.5,40,305.384017
-7.5,40,307.747102
-7.5,40,310.242846
-7.0,40,312.485607
-7.5,40,314.805891
-7.0,40,317.064498
-7.5,40,319.399313
-7.5,40,321.75608
-7.0,40,324.16432
-6.5,40,326.589933
-7.5,40,328.904643
-7.5,40,331.348446
-7.0,40,333.717623
-7.5,40,336.153847
-7.5,40,338.528933
-7.5,40,340.925165
-7.5,40,343.073544
-7.5,40,374.475799
-7.5,40,376.649479
-7.0,40,378.954392
-7.5,40,381.256315
-7.0,40,383.788589
-7.5,40,386.128308
-7.5,40,388.657989
-7.5,40,390.970857
-7.0,40,393.468351
-7.5,40,395.895767
-7.5,40,398.428035
-7.5,40,400.88808
-7.5,40,403.280427
-7.5,40,405.690101
-7.5,40,408.096746
-7.5,40,410.495735
-7.5,40,412.945045
-7.5,40,415.398237
-7.5,40,417.869258
-7.5,40,420.19388
-7.5,40,422.655033
-7.5,40,424.967504
-7.5,40,427.521205
-7.5,40,429.82826
-7.5,40,432.379898
-7.5,40,477.791567
-7.5,40,480.161227
-7.0,40,482.517904
-7.5,40,484.723643
-7.5,40,487.123752
-7.0,40,489.314985
-7.0,40,491.834076
-7.5,40,494.234025
-7.5,40,496.779385
-7.5,40,499.076384
-7.5,40,501.270943
-7.5,40,503.586467
-7.5,40,506.05572
-7.5,40,508.291425
-7.5,40,510.730289
-7.5,40,512.891444
-7.5,40,515.261127
-7.5,40,517.388454
-7.0,40,519.990846
-7.5,40,522.437082
-7.5,40,524.782476
-7.0,40,527.136994
-7.5,40,529.430953
-7.0,40,531.633363
-7.5,40,534.016881
-7.0,40,570.224499
-7.5,40,572.456926
-6.5,40,574.749664
-7.5,40,577.029633
-7.5,40,579.655489
-7.5,40,582.03223
-7.5,40,584.461816
-7.5,40,586.840718
-6.5,40,589.309028
-7.5,40,591.709086
-7.5,40,594.236371
-7.5,40,596.686829
-7.5,40,599.285999
-7.5,40,601.580453
-7.0,40,604.112816
-7.5,40,606.452878
-7.5,40,608.977027
-7.5,40,611.265284
-7.0,40,613.519185
-7.5,40,615.980503
-7.5,40,618.568046
-7.5,40,620.893766
-7.5,40,623.510884
-7.5,40,625.872426
-7.5,40,628.330953
-7.5,40,664.626736
-7.0,40,666.965801
-7.0,40,669.314714
-7.5,40,671.753763
-7.0,40,674.123364
-7.5,40,676.54309
-7.0,40,679.004427
-7.0,40,681.606925
-7.5,40,684.082387
-7.0,40,686.53676
-7.5,40,689.114254
-7.5,40,691.527832
-7.0,40,693.978498
-7.5,40,696.390742
-7.5,40,698.682521
-7.5,40,701.189116
-7.0,40,703.686208
-7.5,40,706.177418
-7.5,40,708.609243
-7.5,40,711.16903
-7.5,40,713.490346
-7.0,40,715.988289
-7.5,40,718.424364
-7.5,40,720.840759
-7.5,40,723.393755
-7.0,40,754.558617
-7.5,40,757.014938
-7.5,40,759.530932
-7.5,40,761.852298
-6.5,40,764.268398
-7.5,40,766.579806
-7.5,40,769.068575
-7.5,40,771.542818
