#{"t_start": 1758259203.3627937, "env_id": null}
r,l,t
-4.5,40,6.290953
-4.0,40,7.184914
-5.0,40,8.144638
-4.5,40,9.094472
-4.5,40,9.977736
-5.0,40,10.863575
-5.0,40,11.713866
-4.5,40,12.671343
-4.5,40,13.573397
-5.0,40,14.6107
-5.0,40,15.548928
-4.5,40,16.502057
-5.0,40,17.462662
-4.0,40,18.407046
-4.0,40,19.301438
-5.0,40,20.190551
-4.5,40,21.070192
-4.0,40,21.945379
-5.0,40,22.77055
-5.0,40,23.624577
-5.0,40,24.42637
-4.5,40,25.223428
-4.5,40,25.999444
-4.5,40,26.920983
-4.5,40,27.829992
-5.0,40,34.379895
-4.0,40,35.25546
-5.0,40,36.069472
-5.5,40,36.937831
-5.5,40,37.763536
-5.0,40,38.624245
-5.0,40,39.45709
-5.0,40,40.362549
-5.0,40,41.314489
-4.5,40,42.302256
-4.5,40,43.234524
-4.5,40,44.137133
-4.5,40,45.141515
-5.0,40,46.015074
-4.5,40,46.92715
-5.0,40,47.766657
-4.5,40,48.670624
-5.0,40,49.529892
-4.5,40,50.35419
-5.0,40,51.194613
-5.5,40,52.047673
-4.5,40,52.920278
-4.5,40,53.813591
-3.5,40,54.843848
-5.0,40,55.891793
11.0,35,62.203127
-2.5,40,63.091483
-5.0,40,63.869776
-5.0,40,64.831218
-5.0,40,65.695561
-5.5,40,66.568256
-5.0,40,67.485625
-5.0,40,68.42585
-4.5,40,69.292059
-5.0,40,70.195003
-4.5,40,71.093968
-5.0,40,72.058952
-5.0,40,72.989385
-4.5,40,73.971106
-5.0,40,74.822101
-5.0,40,75.681414
-4.5,40,76.507566
-5.0,40,77.325347
-5.0,40,78.131037
-5.0,40,78.934371
-5.0,40,79.792915
-5.0,40,80.64693
-0.0,40,81.581087
-4.5,40,82.499883
-5.0,40,83.442238
-5.0,40,89.83927
-4.5,40,90.65087
-5.0,40,91.490788
-5.0,40,92.318074
-5.0,40,93.129479
-4.5,40,94.032915
-5.0,40,94.97612
-5.0,40,95.987036
-4.0,40,96.883737
-5.0,40,97.900522
-5.0,40,98.840332
-5.0,40,99.73471
-4.5,40,100.698496
-5.0,40,101.623061
-4.5,40,102.472396
-5.0,40,103.333598
-5.0,40,104.281806
-5.0,40,105.137849
-2.5,40,105.958963
-5.0,40,106.803091
-4.5,40,107.685285
-4.5,40,108.504997
-4.5,40,109.342958
-5.5,40,110.336542
-4.5,40,111.368352
-5.0,40,117.687018
-5.0,40,118.523216
-4.5,40,119.326916
-4.5,40,120.161653
-5.0,40,121.15766
-4.5,40,122.075258
-4.5,40,122.975663
-5.0,40,123.893337
-4.5,40,124.842615
-5.5,40,125.768034
-5.0,40,126.603751
-4.5,40,127.43797
-4.5,40,128.467861
-5.0,40,129.390926
-5.0,40,130.272549
-4.5,40,131.116759
-5.0,40,131.972421
-4.5,40,132.822435
-5.0,40,133.763179
-4.5,40,134.627673
-5.0,40,135.488301
-5.0,40,136.335067
-4.5,40,137.303802
-4.5,40,138.24847
-4.5,40,139.173718
-5.0,40,145.498985
-4.5,40,146.336805
-5.0,40,147.225664
-5.0,40,148.120503
-2.0,40,149.065601
-5.0,40,150.048411
-4.0,40,150.839554
-5.0,40,151.727218
-4.5,40,152.64904
-5.0,40,153.573524
-4.5,40,154.458122
-5.0,40,155.349341
-5.0,40,156.21895
-4.5,40,157.118964
-4.5,40,157.977333
-4.5,40,158.820268
-4.5,40,159.63534
-5.0,40,160.405081
-4.5,40,161.224623
-5.0,40,162.067616
-5.0,40,162.920453
-4.0,40,163.776687
-5.0,40,164.701308
-5.0,40,165.649514
