#{"t_start": 1757786017.6409602, "env_id": null}
r,l,t
-7.0,40,10.79455
-7.5,40,13.393106
-7.5,40,15.782565
-7.5,40,18.280442
-7.0,40,20.741065
-7.5,40,23.051146
-7.5,40,25.45528
-7.5,40,27.770046
-7.0,40,29.923341
-7.5,40,32.275106
-7.5,40,34.689549
-7.0,40,37.084667
-7.5,40,39.354349
-7.0,40,41.876118
-7.5,40,44.339835
-7.5,40,46.610142
-7.5,40,48.962041
-7.0,40,51.428775
-6.5,40,53.758634
-7.5,40,56.196847
-7.0,40,58.584138
-7.5,40,60.965914
-7.0,40,63.317492
-7.5,40,65.654319
-7.0,40,67.921597
-7.5,40,100.303259
-7.0,40,102.547723
-7.5,40,104.859777
-7.5,40,107.163291
-7.0,40,109.528322
-7.5,40,111.887118
-7.5,40,114.299696
-7.5,40,116.666625
-7.5,40,118.918855
-7.0,40,121.305625
-7.5,40,123.522653
-7.5,40,125.808175
-7.5,40,127.976343
-7.5,40,130.373459
-7.5,40,132.685862
-7.5,40,135.104142
-7.5,40,137.509247
-7.5,40,140.031399
-7.0,40,142.421278
-7.0,40,144.779226
-7.0,40,147.065916
-7.0,40,149.29473
-7.0,40,151.691363
-7.5,40,154.004931
-7.5,40,156.406465
-7.0,40,193.727093
-7.5,40,195.975217
-7.5,40,198.272558
-7.5,40,200.575972
-7.5,40,202.791414
-7.0,40,205.117066
-7.5,40,207.370721
-7.0,40,209.724833
-7.5,40,212.032632
-7.0,40,214.413716
-7.5,40,216.71791
-7.5,40,219.170497
-7.0,40,221.45613
-7.5,40,223.780899
-5.5,40,226.062765
-7.5,40,228.374401
-7.5,40,230.745271
-7.5,40,233.18452
-7.5,40,235.634454
-7.5,40,237.903556
-7.5,40,240.216248
-7.5,40,242.547503
-7.0,40,244.856809
-7.5,40,247.26703
-7.5,40,249.637743
-7.5,40,287.220314
-7.0,40,289.549257
-7.5,40,291.961703
-7.0,40,294.354343
-7.5,40,296.785185
-7.0,40,299.07961
-7.5,40,301.28222
-7.5,40,303.617987
-7.5,40,305.997365
-7.0,40,308.350356
-7.0,40,310.845738
-7.0,40,313.081686
-7.5,40,315.411728
-7.5,40,317.66853
-7.5,40,320.010256
-7.5,40,322.356762
-7.5,40,324.767314
-7.5,40,327.187392
-7.0,40,329.510033
-7.5,40,331.958445
-7.5,40,334.320498
-7.0,40,336.75943
-7.0,40,339.123187
-7.0,40,341.526135
